🕘️更新时间,#genre#
NBC Sports California,http://kstv.us:8080/4VUyfZBQzk/95104974615/28742
NBC Sports Philadelphia,http://kstv.us:8080/4VUyfZBQzk/95104974615/28738
NBA TV,http://212.102.60.231/NBA_TV/index.m3u8
NFL Network,http://23.237.104.106:8080/USA_NFL_NETWORK/index.m3u8
NFL RedZone,http://iptvtree.net:8080/live/7e4b0dbd/1dd755dc3f/2369.ts
MLB Network,http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/2342
NHL Network,https://nhl-firetv.amagi.tv/playlist1080p.m3u8
Golf Channel,http://kstv.us:8080/4VUyfZBQzk/95104974615/15943
Tennis Channel,https://amg01444-tennischannelth-tennischnlintl-lggb-mr3r5.amagi.tv/ts-eu-w1-n2/playlist/amg01444-tennischannelth-tennischnlintl-lggb/cb553d1e7f6c678a93d43e61d4ef41a4da2427fc087a8d6933fb4b926bc10f41f8eda29ab30fb02b04940fa73f4e380d4d1a9a4ace0362d7b66aa9515b7d121b9d81a20a99d94e5cd58d5d5173f7651b52f91016d6354b59f1dd3724c97db9700e16a82e6b553982f449de2e109add5f947e2d8cb3dd7f39635a4ffc0c0bb4e207bcfae25a5bdb6ab3a5191d922c44efd117d4d74dbf88c95a9f15876ba046cc91ed888246848e9165ae57b367086a2217e1e8f838543fccb8af5a7bf144264f0a50e2e3a0ea4f2883543124929de59e15329753eb5fec4e38a914900fa53d8f79a30aa69b2eeacde9992ac95ed5479e9a83e06582aa82ad003ea300b6d17d3913b8fb116a4eca6c9701233193fccc1bbe1274fca30e8aae601134c1de10d5cdf2cbc2b18e439231c5d4fcc37d6b4077010ec670a3992df41a9d40e89f431e0d187bfad315e596c95235554a84ab57c05c4eea8cc5d0894e73e1482f77c42c99570c67c9744b79e626f6d37c4f813405883072aa0c62ce12b2e862a5e7e8e4003aa7d78817ac38a1e65ca09968cd420f193ac1957d0f7a1d28efb91c4a5a1fe44aebd4c6e4056c21fce7c1fbba3e1b0f2b185f09cbafa75fa8cef86b7a32c4402d747b001df45d8589bec0bee881af00d02132a4bb9b4d47303603ecb9e276/93/1920x1080_5060000/index.m3u8
F1 Channel,https://amg12058-c15studio-amg12058c1-lg-us-5787.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg12058-c15medianetworkslimitedfast-formula1tv-lgus/cb553d1e7f6c678a93d43e61d4ef41a4da2427fc087a8d6933fb4b926bc10f41f8eda29ab30fb02b04940fa73f4e380d4d1a9a4ace0362d7b66aa9515b7d121b9d81a20a99d94e5cd58d5d5173f7651b52f91016d6354b59f1dd3724c97db9700e16a82e6b553982f449de2e109add5f947e2d88b3dd7f39635a4ffc0c0bb4e207bcfae25a5bdb6ab3a51e4f9d2b44b6d640d4821ab882c95a9f15866bf9409bc6edda8643d0d29966af06ba305f025617f1817d80875ab2ca881b51f61713613a65d49ec980245087435012faeac5bb69fa1acafb4beb0c0c9a30a870a605a44f862c9abb0dcac2badb510f3da1d2526222adeaa48ff74743d708c086cceb5a5fbcc9395763ec41e5785152fbfccf07cac01a83b83797ad1b7652a9aa66b4a89cb7dd89b010ec4facc6f08b734b5e116268e2668baa50816ab717a9ca006f5b4954bf995aca95dc5024103fecee65f3372b8be4a8acf13d1ee4542600a90ab75a017f8230696aec2efc973d678c5465ef5806df7d03a961d98701d48cfed85c4bdfb8c646ec21fab478b49c6692581d6458cb98415e415f33d4e16802246ac649e8a1ad8b123224c2c4f0a4b2395f063d041c058de39517f1ebfb003b37fc09650a1b1113854ad779cf135d0f3ccc0bc1a07b04ef681a0cd697006e6e43a4ed84b3abeb9005df11d2cbee772e2b4975b821162f61ddc4e23390036a4e4a62b62a56709428747fb0eaa38898847d808977ba2a6b0262c6e9652f633e485639a4a05afe68c3b02484c1b136a7ee89010b842cb30f1193d5ae009287bae67f3faf84763442aa8966af1d2cc3049a2f8dc479dbb5411f0c393227a8e36fdb7a8ff6b9e214ae159d6a3e249112d09de7a0986f50e6855323367b397d15695f0a2d87eeec542546b6f84d8a5ce2f81bbd4346343a53df86722aec9a4c28bd0759459181efb48ce62f3ffd4bd048931d69ca56093dafc83dfc8ab1f6f3831d396ab28d8f698d88aba4f3ffee1b247906579ac54c1b7bd93282eb6d84963151dbb4b9e5b016fff449a8d9fed41bd77ecdfeb207ba9599bec863164a5f448eb99d983afaccc7c12619a12003178e9eecb444f6dfae0e7beb2780cf673ce856f63ab8283eff6c6b38c419537fb4ea9c2e600a61aa900711cd36ae233332d2c5886d3ac8cc35422cf180da0056850412e5080b2ffc3cb2aabe6a66efa81c1359b64b2e826381c499715871eebd5565124d5d45368015637bad7e4bb50abee1d5b46a0b8715c55a6ce837fc9417ef8924dadee8bfeee9316ea2b72b13f104e842f900c6cb80f53deb0235f926c15432e88f9ccdc9eac6a5c6904b094fd817cd7ba71cfee99ad14d746d2b8e306a1f17ab6784616f749bcb52c6a23f09a7ceed0fc67c39660a063fc21cfed155677663b1a41ab9d879697d6320e2a157e7f3d5b1ca5bfc11573123955e54f2e3ab6751e554ccfbf3/10/1920x1080_5287612/index.m3u8
MotoGP TV,https://d1kqz1q7knpsue.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-c6imqvc1ng6dh/865532b0-a6fe-4943-9c23-193c5c3788ce/4.m3u8
UFC,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/194a140c-0cf5-443e-b747-08bf621d75a8/0.m3u8
WWE Network,http://kstv.us:8080/4VUyfZBQzk/95104974615/47642
beIN SPORTS,http://kstv.us:8080/4VUyfZBQzk/95104974615/15922
beIN SPORTS XTRA,https://d9ssxzmclhfo4.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-t7en7ol3kq3sp/f881b29a-280a-4416-be20-40db0fcc0f07/3.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.us_privacy=1YNY&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D&ads.ssai_vendor=SSSLIVE&ads.afsdk_params=%7BAFSDK_VALUE%7D&ads.service_id=USAJ4300001Q7
HBO,http://23.237.104.106:8080/USA_HBO/index.m3u8
HBO Hits,http://23.237.104.106:8080/USA_HBO2/index.m3u8
HBO Comedy,http://23.237.104.106:8080/USA_HBO_COMEDY/index.m3u8
HBO Drama,http://epicboss.live/bjune@teksavvy.com/5193594414/24887
HBO Movies,http://23.237.104.106:8080/USA_HBO_ZONE/index.m3u8
Showtime 2,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14169
Showtime Extreme,http://kstv.us:8080/4VUyfZBQzk/95104974615/23257
Showtime Next,http://totalplay.site:8080/SantiagoVallecillo07/CMHawSKdKy/595762
Showtime Women,http://totalplay.site:8080/SantiagoVallecillo07/CMHawSKdKy/595766
Showtime Family Zone,http://kstv.us:8080/4VUyfZBQzk/95104974615/23256
Showtime Showcase,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/188733
Starz,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14915
Starz Edge,http://totalplay.site:8080/SantiagoVallecillo07/CMHawSKdKy/595776
Starz in Black,http://hardcoremedia.xyz/ymgiaxkw/5Hr5ZQuVfU/130008
Starz Comedy,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14917
Starz Cinema,http://fastream.xyz:8080/998742589tv1/58520km/206
Starz Kids & Family,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14919
Starz Encore,http://tv.diablotv.net:8080/eEiiLll09384Ecaiman34RtR/KTap2pdJx7/162587
Starz Encore Action,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14923
Starz Encore Classic,http://212.102.60.231/STARZ_ENCORE_CLASSIC/index.m3u8
Starz Encore Black,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/216179
Starz Encore Family,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/216178
Starz Encore Suspense,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14924
Starz Encore Westerns,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14922
Cinemax,http://23.237.104.106:8080/USA_CINEMAX/index.m3u8
Cinemax Action,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/13992
Cinemax Classics,http://23.237.104.106:8080/USA_5STARMAX/index.m3u8
Cinemax Hits,http://23.237.104.106:8080/USA_MOREMAX/index.m3u8
MGM+,http://epicboss.live/bjune@teksavvy.com/5193594414/19074
MGM+ Drive-In,http://epicboss.live/bjune@teksavvy.com/5193594414/115154
MGM+ Hits,http://kstv.us:8080/4VUyfZBQzk/95104974615/23326
MGM+ Marquee,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14167
TCM,https://turnerlive.warnermediacdn.com/hls/live/2023186/tcmeast/noslate/VIDEO_1_5128000.m3u8
Paramount Network,http://kstv.us:8080/4VUyfZBQzk/95104974615/23254
Paramount+ with Showtime,http://23.237.104.106:8080/USA_SHOWTIME/index.m3u8
FX,http://23.237.104.106:8080/USA_FX/index.m3u8
FXM,http://kstv.us:8080/4VUyfZBQzk/95104974615/23309
FXX,http://23.237.104.106:8080/USA_FXX/index.m3u8
SHOxBET,http://epicboss.live/bjune@teksavvy.com/5193594414/50999
AMC,http://hardcoremedia.xyz/ymgiaxkw/5Hr5ZQuVfU/11652
AMC Thrillers,https://18f2fbf906cb473e8adbe37026e7e27f.mediatailor.us-east-1.amazonaws.com/v1/manifest/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Vizio_RushByAMC/dbfca017-81b9-4a86-af1e-debe7e1a7666/4.m3u8
TBS,https://turnerlive.warnermediacdn.com/hls/live/2023172/tbseast/slate/VIDEO_0_3564000.m3u8
TNT,https://turnerlive.warnermediacdn.com/hls/live/2023168/tnteast/slate/VIDEO_0_3564000.m3u8
USA Network,http://190.11.225.124:5000/live/usa_hd/playlist.m3u8
Freeform,http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/2329
Comedy Central,http://23.237.104.106:8080/USA_COMEDY_CENTRAL/index.m3u8
CMT,http://23.237.104.106:8080/USA_CMT/index.m3u8
BET,http://kstv.us:8080/4VUyfZBQzk/95104974615/22566
VH1,http://23.237.104.106:8080/USA_VH1/index.m3u8
Hallmark Channel,http://23.237.104.106:8080/USA_HALLMARK/index.m3u8
Hallmark Family,http://kstv.us:8080/4VUyfZBQzk/95104974615/48377
Hallmark Mystery,http://ad8147ee.cbilant.com/iptv/ZUGHA6ZCCHRXMQB594EQKPDE/1075/index.m3u8
Lifetime,http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/4667
MeTV,http://6e8e416e.rossteleccom.net/iptv/5UTLZ77ZYQACMQ7WU4546MEU/1096/index.m3u8
TV Land,http://kstv.us:8080/4VUyfZBQzk/95104974615/23241
Bounce,http://23.237.104.106:8080/USA_BOUNCE/index.m3u8
GRIT,http://hardcoremedia.xyz/ymgiaxkw/5Hr5ZQuVfU/129885
Oxygen True Crime,http://kstv.us:8080/4VUyfZBQzk/95104974615/23271
Ovation,http://hardcoremedia.xyz/live/rabdsbmz/3731346838/129935.ts
Court TV,https://amg01438-ewscrippscompan-courttv-tablo-nbcc7.amagi.tv/ts-us-w2-n2/playlist/amg01438-ewscrippscompan-courttv-tablo/cb543e1f796c648e9dd43c66cef340a1f9431fde1d6988693eb5518975d10724d4efa89da914ac30578f6680255f314120369809a11f11afce7ba83e357978738388c33b99c5476ee78a74736eac7f1d56e00d13c03d285aedc43644c531bc720053cf0c6d5d3dc4fd2af5340d98d5158a7b2c95adc361277d4a3cce0b0ca7f941a6fce64346de7eb5e4484b962711e3805fc8804dea9dd55ac8429b27a317998ff18dd2178182c432f801e3643b69480ef132919cb33f9ef1d80011937f2f06355ae8a4e191245ea77433977c62a9c501de00c7885fe12a57e945f0c7e3414de3824738c01880d444830ef5c34ef87b2b4981f6a98bb41d3cb361c489e6d3744648977e6d6ac677d12e2739dfa88544c48b3897b52a8ba0660e309bd16c9589b78faf9d8c49dc0af987ccd86c127132513dd114e2bb7dcb25d84fadcc3828480211fecd1b97d099161b4a7babac12941f12b2decba4da0d30c5295b79e072d65600239d603932b563a9d46c2cba270c842734b40d66d70cafee5e9acdbfca357b8daca013af50bee035858c45c30b1b560db4fe292d206d6dc0e263775d5acb57ebdecfa13a492fdfb7f5bca7773d1432035d1c8181b620c86ea1dbeebe6c35ae77d381bec7ce4ef0ae61894f303a0b/103/1920x1080_5058864/index.m3u8
Investigation Discovery,http://kstv.us:8080/4VUyfZBQzk/95104974615/15911
LMN,http://41.205.93.154/LIFETIME/index.m3u8
Cartoon Network,http://23.237.104.106:8080/USA_CARTOON_NETWORK/index.m3u8
Nickelodeon,http://kstv.us:8080/4VUyfZBQzk/95104974615/22486
Nick Jr.,http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/14835
Nicktoons,http://212.102.60.231/NICKTOONS/index.m3u8
Disney Channel,http://kstv.us:8080/4VUyfZBQzk/95104974615/23332
Disney XD,http://kstv.us:8080/4VUyfZBQzk/95104974615/23330
Disney JR,http://kstv.us:8080/4VUyfZBQzk/95104974615/47621
Boomerang,http://23.237.104.106:8080/USA_BOOMERANG/index.m3u8
Adult Swim,https://turnerlive.warnermediacdn.com/hls/live/2023183/aseast/noslate/VIDEO_1_5128000.m3u8
BBC News UK,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC News International,https://d3pxo1qcgzxtxs.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-linear-amc-hlsv3/5ab832c0-311a-4705-9535-5e54ad64b21e/5.m3u8
Sky News,https://xumo-drct-skynews-nc91a.fast.nbcuni.com/live/master_5.m3u8
ITV1 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47784
Sky Sports Main Event UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47868
Sky Sports Premier League UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47871
Sky Sports Football UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47866
Sky Sports F1 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47865
Sky Sports Cricket UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47864
Sky Sports Mix UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47869
Sky Sports Golf UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47867
Sky Sports Racing UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47872
Sky Sports Action UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47862
Sky Sports Tennis UK,http://alal.fit:8080/FatmiriTV/jv8D9RARGJ/293804
Sky Sports+ UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47863
Sky Sports News UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47870
TNT Sports 1 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47850
TNT Sports 2 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47851
TNT Sports 3 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47852
TNT Sports 4 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47853
Sky Cinema Premiere UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47820
Sky Cinema Select UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47822
Sky Cinema Hits UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47819
Sky Cinema Greats UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47818
Sky Cinema Family UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47817
Sky Cinema Action UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47813
Sky Cinema Comedy UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47815
Sky Cinema Thriller UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47823
Sky Cinema Drama UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47816
Sky Cinema Sci-Fi & Horror UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47821
Sky Cinema Animation UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47814
Sky Atlantic UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47812
Sky Witness UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47833
Sky Comedy UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47825
Sky Sci-Fi UK,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/14932
Sky One UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47829
Sky Arts UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47811
BBC America,http://kstv.us:8080/4VUyfZBQzk/95104974615/23359
BritBox Mysteries UK,https://1d7f286dfb844497ac68dd9d6eeb6ea6.mediatailor.us-west-2.amazonaws.com/v1/manifest/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-796-BRITBOXMYSTERIES-LG_US/a623a951-0765-40f6-83dd-307e7c64a4f5/0.m3u8
ITV2 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47786
ITV3 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47787
ITV4 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47785
Channel 4 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47758
Channel 5 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47759
More4 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47790
E4 UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47772
BBC One UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47744
BBC Two UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47745
BBC Three UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47751
BBC Four UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47742
BBC Comedy UK,https://d1em2hga7sgumq.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-eprn63ljtaxsa/7780cd8f-1fb9-4332-a9e1-73b00c122603/2.m3u8
BBC Drama UK,https://8789a89265424e11b94cff2b080ddde6.mediatailor.us-west-2.amazonaws.com/v1/manifest/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-938-BBCDRAMA-LG_US/b3bbb52d-6bdc-47d9-bbff-b30738a8d2a5/0.m3u8
Sky Documentaries UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47827
Sky History UK,http://iptv-premium-ott.com:8789/BSM73928/OSF19372/215971
Sky History 2 UK,http://iptv-premium-ott.com:8789/BSM73928/OSF19372/215957
Sky Crime UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47826
Sky Nature UK,http://kstv.us:8080/4VUyfZBQzk/95104974615/47830
TSN1 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15929
TSN2 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15928
TSN3 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15927
TSN4 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15926
TSN5 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15925
Sportsnet Ontario CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40615
Sportsnet East CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40617
Sportsnet West CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40613
Sportsnet Pacific CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40614
Sportsnet ONE CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40616
Sportsnet 360 CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40618
Sportsnet World CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/15936
Sportsnet New York,http://212.102.60.231/SNY/index.m3u8
Sportsnet Pittsburgh,http://aflaxtv.xyz:8080/mitrovic/19106b7cb4/59945
CTV Toronto CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40733
CTV2 Vancouver CA,http://1tv41.icu:8080/Y06DNq/295733/57316
CBC Toronto CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40758
CBC Vancouver CA,http://kstv.us:8080/4VUyfZBQzk/95104974615/40757
CityNews Toronto CA,https://citynewsregional.akamaized.net/hls/live/1024052/Regional_Live_7/Video-3MBPS.m3u8
CityNews Vancouver CA,https://citynewsregional.akamaized.net/hls/live/1024054/Regional_Live_9/Video-3MBPS.m3u8
Global News Toronto CA,https://stitcher-ipv4.pluto.tv/v2/stitch/embed/hls/channel/62cc00b3b821cf00070f82c3livestitch/2977920/playlist.m3u8?terminate=false&sid=SAMSUNG-TVPLUS-769fe560-171a-4d7b-9e05-f9753ae6cdab&deviceDNT=0&deviceLat=0&deviceLon=0&deviceModel=samsung&deviceVersion=unknown&embedPartner=jmp2.uk&samsung_app_domain=https%3A%2F%2Fwww.samsung.com%2Fus%2Fappstore%2Fapp.do%3FappId%3DG15147002586&samsung_app_name=Samsung+TV+Plus&serverSideAds=true&appName=samsungtvplus&deviceId=b6183339-da66-4399-b4df-e607891041e3&appVersion=unknown&deviceType=samsung-tvplus&deviceMake=samsung&includeDeviceUA=true&authToken=eyJhbGciOiJIUzI1NiIsImtpZCI6Ijc1M2FiNGVlLTc4NjktNDE2Yy05ZjI2LWIxYWYxNjU4YjAyNiIsInR5cCI6IkpXVCJ9.eyJwYXJ0bmVyIjoic2Ftc3VuZ3R2cGx1cyIsImZlYXR1cmVzIjp7Im11bHRpUG9kQWRzIjp7ImNvaG9ydCI6IiIsImVuYWJsZWQiOnRydWV9LCJzdGl0Y2hlckhsc05nIjp7ImRlbXV4ZWRBdWRpbyI6ImppdCJ9LCJzdGl0Y2hlclBhcnRuZXJTaG93U2xhdGUiOnsiZW5hYmxlZCI6dHJ1ZX19LCJpc3MiOiJzZXJ2aWNlLXBhcnRuZXItYXV0aC5wbHV0by50diIsInN1YiI6InByaTp2MTpwbHV0bzpkZXZpY2VzOmMyRnRjM1Z1WjNSMmNHeDFjdz09IiwiYXVkIjoiKi5wbHV0by50diIsImV4cCI6MTc3Njc0OTI0OCwiaWF0IjoxNzc2NjYyODQ4LCJqdGkiOiI5YWI0MWU3Ni1jNTMxLTQyM2ItYmFjNi05MGU1ZDJjM2ZkZGUifQ.aPKepnxwHXGDeXSyVWDnhKfClWJVOO75-nkjWU0mJ3Y&us_privacy=1YNY&advertisingId=%7BPSID%7D&profileLimit=&profileFloor=&masterJWTPassthrough=1&profilesFromStream=true
